K,R_mean,R_std,sv2sv1_mean,sv2sv1_std,rank_mean,eta_mean,pr_mean,n_snapshots
0.100000,0.038372,0.020108,0.999765,0.000019,1.000000,0.499941,10.000000,10
0.200000,0.038475,0.020691,0.999765,0.000017,1.000000,0.499941,10.000000,10
0.300000,0.038511,0.021402,0.999770,0.000022,1.000000,0.499943,10.000000,10
0.400000,0.038511,0.022191,0.999763,0.000018,1.000000,0.499941,10.000000,10
0.500000,0.038756,0.022627,0.999763,0.000024,1.000000,0.499941,10.000000,10
0.540000,0.039037,0.022545,0.999768,0.000025,1.000000,0.499942,10.000000,10
0.578000,0.039388,0.022382,0.999764,0.000021,1.000000,0.499941,10.000000,10
0.616000,0.039826,0.022146,0.999762,0.000015,1.000000,0.499940,10.000000,10
0.654000,0.040377,0.021816,0.999770,0.000017,1.000000,0.499942,10.000000,10
0.692000,0.041043,0.021399,0.999758,0.000018,1.000000,0.499940,10.000000,10
0.730000,0.041773,0.020987,0.999756,0.000027,1.000000,0.499939,10.000000,10
0.800000,0.043016,0.020713,0.999770,0.000017,1.000000,0.499942,10.000000,10
0.950000,0.045685,0.023797,0.999758,0.000017,1.000000,0.499940,10.000000,10
1.100000,0.058226,0.029422,0.999767,0.000020,1.000000,0.499942,10.000000,10
1.250000,0.066945,0.029707,0.999768,0.000020,1.000000,0.499942,10.000000,10
1.400000,0.069617,0.035209,0.999760,0.000019,1.000000,0.499940,10.000000,10
1.550000,0.087783,0.039906,0.999768,0.000013,1.000000,0.499942,10.000000,10
1.700000,0.102041,0.042895,0.999762,0.000024,1.000000,0.499940,10.000000,10
1.850000,0.117487,0.059555,0.999765,0.000018,1.000000,0.499941,10.000000,10
2.000000,0.176557,0.083626,0.999754,0.000021,1.000000,0.499939,10.000000,10
