T,M,xi,sv2sv1_mean,sv2sv1_std,rank_mean,eta_mean,pr_mean
0.300000,0.007303,11.214584,0.012176,0.000000,1.000000,0.012176,1.051245
0.400000,0.006504,5.705411,0.008530,0.000000,1.000000,0.008530,1.036279
0.500000,0.004750,16.012266,0.017881,0.000000,1.000000,0.017881,1.080566
0.600000,0.008210,71.030320,0.009172,0.000000,1.000000,0.009172,1.039025
0.700000,0.016194,14.399896,0.051257,0.000000,1.000000,0.051257,1.218911
0.760000,0.009714,8.959146,0.008711,0.000000,1.000000,0.008711,1.037921
0.798571,0.012631,82.942945,0.016497,0.000000,1.000000,0.016497,1.068315
0.837143,0.015102,10.629573,0.039287,0.000000,1.000000,0.039287,1.169197
0.875714,0.017974,6.359409,0.067693,0.000000,1.000000,0.067693,1.298818
0.914286,0.009832,23.315625,0.023269,0.000000,1.000000,0.023269,1.101111
0.952857,0.007029,6.311657,0.019759,0.000000,1.000000,0.019759,1.083655
0.991429,0.018026,10.030795,0.013125,0.000000,1.000000,0.013125,1.056262
1.030000,0.012109,14.870245,0.028101,0.000000,1.000000,0.028101,1.119537
1.100000,0.021403,12.520201,0.043062,0.000000,1.000000,0.043062,1.182407
1.216667,0.005792,11.389759,0.012613,0.000000,1.000000,0.012613,1.053841
1.333333,0.008426,236.139835,0.014217,0.000000,1.000000,0.014217,1.063671
1.450000,0.007471,24.919713,0.012162,0.000000,1.000000,0.012162,1.055044
1.566667,0.011745,268.985411,0.055180,0.000000,1.000000,0.055180,1.250672
1.683333,0.001716,4.220732,0.009078,0.000000,1.000000,0.009078,1.037435
1.800000,0.015715,5.942847,0.034862,0.000000,1.000000,0.034862,1.146570
