T,T_over_Tc,sv2sv1_mean,sv2sv1_std,rank_mean,eta_mean,pr_mean,xi,chi,energy
0.637167,0.700000,0.237351,0.000000,1.000000,0.237351,2.503917,33892.464926,0.019801,-1.972418
0.682679,0.750000,0.249383,0.000000,1.000000,0.249383,2.569181,14497.464768,0.033704,-1.955816
0.728191,0.800000,0.265074,0.000000,1.000000,0.265074,2.650196,6350.249346,0.061083,-1.930425
0.773703,0.850000,0.285217,0.000000,1.000000,0.285217,2.747425,2837.024619,0.126615,-1.895131
0.819215,0.900000,0.315037,0.000000,1.000000,0.315037,2.877702,1199.629049,0.242362,-1.842408
0.837420,0.920000,0.333179,0.000000,1.000000,0.333179,2.949165,794.861398,0.450867,-1.815813
0.858226,0.942857,0.360481,0.000000,1.000000,0.360481,3.047257,478.831572,0.803154,-1.773186
0.879031,0.965714,0.404847,0.000000,1.000000,0.404847,3.185191,256.702668,1.490704,-1.721037
0.899836,0.988571,0.521252,0.000000,1.000000,0.521252,3.445201,99.632838,7.662855,-1.635369
0.920642,1.011429,0.156742,0.000000,1.000000,0.156742,1.811143,2.662290,0.824803,-0.723259
0.941447,1.034286,0.153974,0.000000,1.000000,0.153974,1.801793,2.176301,1.112046,-0.718118
0.962253,1.057143,0.086682,0.000000,1.000000,0.086682,1.429061,1.993084,0.210102,-0.619931
0.983058,1.080000,0.090725,0.000000,1.000000,0.090725,1.426841,3.117465,0.124653,-0.608161
1.019468,1.120000,0.091037,0.000000,1.000000,0.091037,1.451961,2.950691,0.057675,-0.612904
1.077116,1.183333,0.081814,0.000000,1.000000,0.081814,1.418744,3.320122,0.233774,-0.604660
1.134765,1.246667,0.055688,0.000000,1.000000,0.055688,1.283675,3.134347,0.109767,-0.589585
1.192413,1.310000,0.053528,0.000000,1.000000,0.053528,1.282711,3.906296,0.026109,-0.590344
1.250062,1.373333,0.052940,0.000000,1.000000,0.052940,1.266791,2.219089,0.193895,-0.573300
1.307710,1.436667,0.051048,0.000000,1.000000,0.051048,1.260229,3.506669,0.148250,-0.575294
1.365359,1.500000,0.059736,0.000000,1.000000,0.059736,1.299737,2.774292,0.064632,-0.578062
