N,T,T_over_Tc,sv2sv1_mean,sv2sv1_std,rank_mean,eta_mean,pr_mean,xi,chi,energy,time_sec
256,0.637167,0.700000,0.237545,0.000000,1.000000,0.237545,2.505015,128464.245182,0.018579,-1.972464,214.337216
256,0.728191,0.800000,0.264397,0.000000,1.000000,0.264397,2.646754,24658.702795,0.058205,-1.930883,214.656536
256,0.819215,0.900000,0.315152,0.000000,1.000000,0.315152,2.877848,4379.838732,0.266995,-1.842768,205.146805
256,0.855625,0.940000,0.356330,0.000000,1.000000,0.356330,3.033107,1851.407327,0.698289,-1.780258,829.930101
256,0.873830,0.960000,0.391441,0.000000,1.000000,0.391441,3.146138,1060.694526,1.280151,-1.735605,408.583680
256,0.892034,0.980000,0.459657,0.000000,1.000000,0.459657,3.324086,491.162514,3.371137,-1.673036,321.564384
256,0.901137,0.990000,0.538588,0.000000,1.000000,0.538588,3.473689,264.590523,9.307895,-1.625903,1218.547123
256,0.910239,1.000000,0.973148,0.000000,3.000000,0.412686,3.668498,65.946210,317.081238,-1.531076,162.876942
256,0.919342,1.010000,0.074962,0.000000,1.000000,0.074962,1.340924,6.568938,0.033971,-0.557830,5.485028
256,0.928444,1.020000,0.051237,0.000000,1.000000,0.051237,1.243938,6.933687,0.042741,-0.558283,5.764896
256,0.946649,1.040000,0.045199,0.000000,1.000000,0.045199,1.211593,8.539047,0.027109,-0.554672,5.374009
256,0.964854,1.060000,0.038645,0.000000,1.000000,0.038645,1.175379,6.991056,0.046170,-0.534219,2.629052
256,1.001263,1.100000,0.042472,0.000000,1.000000,0.042472,1.190290,9.663297,0.056995,-0.530384,2.667844
256,1.092287,1.200000,0.033071,0.000000,1.000000,0.033071,1.148187,9.904501,0.011876,-0.525829,2.600060
256,1.228823,1.350000,0.039724,0.000000,1.000000,0.039724,1.179687,6.743464,0.016644,-0.527794,2.605853
256,1.365359,1.500000,0.026858,0.000000,1.000000,0.026858,1.119691,10.151058,0.012976,-0.519146,2.654004
512,0.637167,0.700000,0.237654,0.000000,1.000000,0.237654,2.505614,502583.898196,0.017533,-1.972448,816.605207
512,0.728191,0.800000,0.264711,0.000000,1.000000,0.264711,2.648388,95690.287828,0.066688,-1.930690,798.178638
512,0.819215,0.900000,0.315152,0.000000,1.000000,0.315152,2.877882,16920.957578,0.261700,-1.842556,943.907794
512,0.855625,0.940000,0.356479,0.000000,1.000000,0.356479,3.033650,7009.040449,0.731999,-1.779870,717.951590
512,0.873830,0.960000,0.391192,0.000000,1.000000,0.391192,3.145442,4010.669050,1.302668,-1.735011,1277.630682
512,0.892034,0.980000,0.458389,0.000000,1.000000,0.458389,3.321434,1800.520238,4.515865,-1.673158,1166.367619
512,0.901137,0.990000,0.533639,0.000000,1.000000,0.533639,3.465832,925.613234,7.299288,-1.626758,1043.493247
512,0.910239,1.000000,1.000000,0.000000,3.000000,0.404136,3.651850,137.050037,1052.853535,-1.515143,509.926656
512,0.919342,1.010000,0.050766,0.000000,1.000000,0.050766,1.212839,19.836446,0.003894,-0.513383,22.331671
512,0.928444,1.020000,0.027048,0.000000,1.000000,0.027048,1.115493,24.929525,0.003623,-0.512358,22.434806
512,0.946649,1.040000,0.028334,0.000000,1.000000,0.028334,1.120136,18.710456,0.009779,-0.510937,22.342111
512,0.964854,1.060000,0.026454,0.000000,1.000000,0.026454,1.111747,17.892849,0.003181,-0.508415,11.307187
512,1.001263,1.100000,0.027898,0.000000,1.000000,0.027898,1.117029,23.181588,0.008841,-0.507530,11.327959
512,1.092287,1.200000,0.035057,0.000000,1.000000,0.035057,1.145757,35.676741,0.003543,-0.507057,11.307951
512,1.228823,1.350000,0.016017,0.000000,1.000000,0.016017,1.067077,24.506357,0.003298,-0.505193,11.298550
512,1.365359,1.500000,0.030385,0.000000,1.000000,0.030385,1.126354,26.799775,0.006612,-0.504975,11.378254
