W,W_over_Wc,sv2sv1_mean,sv2sv1_std,rank_mean,eta_mean,pr_mean,ipr_mean,ipr_std,ipr_median,n_realizations,n_eigenstates,time_sec
2.000000,0.121212,0.123081,0.025319,1.300000,0.120078,1.906035,0.000738,0.000022,0.000737,10,500,3.113698
4.000000,0.242424,0.229678,0.018892,3.700000,0.152166,2.665529,0.000798,0.000029,0.000796,10,500,2.988307
6.000000,0.363636,0.252681,0.007582,4.000000,0.148115,2.812618,0.000981,0.000063,0.000972,10,500,2.943407
8.000000,0.484848,0.255721,0.006772,4.000000,0.146387,2.829718,0.001409,0.000192,0.001372,10,500,2.957150
10.000000,0.606061,0.258495,0.007803,4.000000,0.146208,2.847203,0.002357,0.000693,0.002185,10,500,3.000706
12.000000,0.727273,0.252120,0.010322,4.000000,0.145885,2.805152,0.004279,0.002244,0.003658,10,500,2.847675
13.500000,0.818182,0.253392,0.003815,4.000000,0.144500,2.812075,0.008308,0.011187,0.006430,10,500,3.008576
15.000000,0.909091,0.255861,0.004184,4.000000,0.144605,2.828128,0.014234,0.012802,0.010479,10,500,3.037866
15.500000,0.939394,0.253954,0.003470,4.000000,0.144324,2.815455,0.018126,0.019526,0.012228,10,500,2.921188
16.000000,0.969697,0.255363,0.004286,4.000000,0.144536,2.824815,0.019641,0.017224,0.014230,10,500,2.955578
16.500000,1.000000,0.254110,0.003011,4.000000,0.144369,2.816544,0.022568,0.021582,0.015954,10,500,3.116075
17.000000,1.030303,0.254165,0.003576,4.000000,0.144371,2.816883,0.026235,0.026666,0.017678,10,500,2.962782
17.500000,1.060606,0.253578,0.002160,4.000000,0.144251,2.812964,0.037667,0.034626,0.026958,10,500,3.029039
18.500000,1.121212,0.254353,0.001695,4.000000,0.144329,2.818091,0.050605,0.058075,0.032375,10,500,2.948456
20.000000,1.212121,0.254939,0.002111,4.000000,0.144370,2.821918,0.077330,0.080944,0.049943,10,500,3.023364
21.500000,1.303030,0.255178,0.003172,4.000000,0.144548,2.823687,0.095919,0.085384,0.068699,10,500,3.074233
23.000000,1.393939,0.256533,0.003066,4.000000,0.144945,2.832997,0.140984,0.114271,0.100993,10,500,3.075691
24.000000,1.454545,0.255672,0.002008,4.000000,0.144974,2.827537,0.165008,0.133614,0.119530,10,500,2.998038
